Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-69.92892	-231.3432	161.4142	0.1303605	0.6225948	0.45555	0.54445	2.135787
6	-64.96468	-225.6109	160.6462	0.1781939	0.4643632	0.686956	0.313044	2.745269
12	-62.85503	-224.3916	161.5366	0.5814188	0.3038716	0.637934	0.362066	2.13226
18	-70.50457	-232.4196	161.915	0.6483207	0.2191026	0.438853	0.561147	1.980951
24	-70.31408	-232.4657	162.1517	0.7686582	0.2270007	0.81338	0.18662	1.721076
30	-62.25648	-224.3396	162.0831	0.7313415	0.2509806	0.376381	0.623619	1.750184
36	-67.32514	-229.3406	162.0155	0.7319058	0.6220604	0.344161	0.655839	1.27802
42	-79.9645	-241.5997	161.6352	0.9540787	0.7356553	0.379586	0.620414	1.283546
48	-73.86887	-235.2238	161.3549	0.9724264	0.7356553	0.277353	0.722647	1.488668
54	-76.69538	-238.697	162.0016	0.3103987	0.4922621	0.335856	0.664144	1.753604
60	-73.75397	-234.5634	160.8095	0.5458614	0.2653566	0.580763	0.419237	2.673064
66	-75.64294	-237.3087	161.6658	0.5458614	0.5458732	0.868392	0.131608	1.763343
72	-83.26875	-245.0467	161.778	0.2480487	0.7602748	0.611253	0.388747	1.686393
78	-88.40757	-249.1674	160.7599	0.736005	0.1204986	0.531776	0.468224	2.861736
84	-81.21254	-243.1739	161.9613	0.8924437	0.5945241	0.821249	0.178751	1.222403
90	-74.74199	-234.7437	160.0018	0.27932	0.5151049	0.672136	0.327864	3.022463
96	-73.58635	-233.6936	160.1072	0.1738649	0.5151049	0.670194	0.329806	3.022463
102	-80.85351	-241.5325	160.6789	0.07277714	0.9468503	0.805666	0.194334	2.393398
108	-76.3932	-238.0897	161.6965	0.1657822	0.2676141	0.705723	0.294277	2.352957
114	-82.90242	-244.1811	161.2787	1.804674	0.7354556	0.881806	0.118194	0.2860656
120	-78.1512	-240.9152	162.764	0.01243525	0.1743549	0.397416	0.602584	1.928643
126	-63.34806	-225.9465	162.5985	0.03352371	0.2223659	0.661748	0.338252	1.928643
132	-69.76122	-231.5124	161.7512	0.07003697	0.2500438	0.766487	0.233513	2.407422
138	-74.43358	-235.4536	161.02	0.5175297	0.3741623	0.527964	0.472036	2.407422
144	-82.39852	-244.2841	161.8855	0.5274813	0.5374027	0.566857	0.433143	1.629937
150	-69.05475	-230.3456	161.2908	0.2056854	0.4155177	0.621605	0.378395	2.382494
156	-78.77049	-239.5052	160.7347	0.3659596	0.6063509	0.588565	0.411435	2.434901
162	-78.82538	-241.1492	162.3238	1.023024	0.3206153	0.476408	0.523592	1.219438
168	-86.78085	-248.7763	161.9954	1.023024	0.3620787	0.569314	0.430686	1.412768
174	-85.38706	-247.0024	161.6154	0.9564869	0.6078677	0.825705	0.174295	1.433207
180	-83.88355	-245.6029	161.7193	0.6364052	0.4971984	0.270106	0.729894	1.717098
186	-88.08834	-249.8775	161.7892	0.9758111	0.6235545	0.365253	0.634747	1.261751
192	-64.17267	-226.1342	161.9615	0.5813204	0.3963383	0.494201	0.505799	1.712587
198	-70.23821	-232.7362	162.498	0.11873	0.4547307	0.686295	0.313705	1.581941
204	-70.63383	-233.369	162.7352	0.3960669	0.1581809	0.745574	0.254426	1.721146
210	-67.75413	-227.1685	159.4144	0.1685128	0.7548362	0.402696	0.597304	3.237392
216	-64.92539	-225.8208	160.8954	0.05631	0.423791	0.627486	0.372514	2.711959
222	-78.22253	-239.8456	161.6231	0.02958491	0.4044723	0.517657	0.482343	2.296512
228	-65.50504	-226.2812	160.7762	0.2362123	0.5759717	0.512706	0.487294	2.518191
234	-67.93717	-230.0991	162.1619	1.006994	0.3838727	0.75505	0.24495	1.257181
240	-71.36153	-233.6804	162.3189	1.006994	0.3519059	0.767397	0.232603	1.179365
246	-71.56765	-234.2463	162.6787	0.6429149	0.315047	0.497955	0.502045	1.25114
252	-75.32246	-237.1857	161.8633	0.3709387	0.2556084	0.677377	0.322623	2.133264
258	-79.93854	-241.1956	161.2571	0.4952945	0.5468558	0.817085	0.182915	2.073125
264	-78.343	-238.3198	159.9768	0.1417114	0.4742463	0.562935	0.437065	3.160045
270	-78.32476	-240.6063	162.2815	0.387117	0.2939199	0.776179	0.223821	1.777633
276	-86.29529	-246.4027	160.1074	0.7108224	0.5413628	0.740256	0.259744	2.671219
282	-67.28114	-229.8076	162.5265	0.7915643	0.2777865	0.458385	0.541615	1.325597
288	-65.28466	-227.0238	161.7391	0.7915643	0.7410277	0.667985	0.332015	1.325597
294	-67.00285	-229.2048	162.2019	0.2869338	0.2032133	0.789704	0.210296	2.060975
300	-77.44242	-240.0545	162.6121	1.474511	0.2310135	0.323382	0.676618	0.6296489
306	-77.38077	-239.3555	161.9747	1.435409	0.5874296	0.529079	0.470921	0.4521303
312	-76.88009	-239.4456	162.5655	1.234434	0.1852705	0.540439	0.459561	1.134033
318	-60.36009	-223.4259	163.0658	0.9943746	0.1414063	0.554305	0.445695	1.028807
324	-76.62762	-237.5254	160.8978	0.8466881	1.204712	0.365868	0.634132	1.560875
330	-80.09598	-242.5366	162.4407	0.356649	0.4204138	0.386286	0.613714	1.494273
336	-83.92374	-244.599	160.6753	0.4783685	0.690068	0.692739	0.307261	2.328445
342	-78.24227	-240.0323	161.79	0.8817433	0.4856041	0.4421	0.5579	1.501806
348	-86.91445	-248.3441	161.4296	0.6011505	0.5898173	0.658244	0.341756	1.842501
354	-78.48729	-240.8269	162.3396	1.109217	0.5094675	0.358771	0.641229	0.7387064
360	-79.2537	-241.3061	162.0524	1.54627	0.3897363	0.731017	0.268983	0.8272678
366	-84.28469	-245.6475	161.3628	1.54627	0.8226576	0.679673	0.320327	0.8858981
372	-72.7619	-233.8192	161.0573	0.3490172	0.4857235	0.415681	0.584319	2.360502
378	-70.13013	-231.6856	161.5555	0.5245526	0.4193008	0.455936	0.544064	1.999576
384	-68.70705	-230.1087	161.4016	0.3071203	0.3196147	0.732939	0.267061	2.372336
390	-85.33052	-247.3319	162.0014	0.1776858	0.5407537	0.418774	0.581226	1.791555
396	-93.764	-254.5561	160.7921	0.3681637	0.497541	0.841301	0.158699	2.502988
402	-72.92267	-232.9887	160.066	0.01616653	0.3953935	0.682996	0.317004	3.266685
408	-79.19558	-240.6461	161.4505	0.0356178	0.3323528	0.531699	0.468301	2.494728
414	-65.81199	-228.3588	162.5468	0.3172804	0.3323528	0.602361	0.397639	1.576205
420	-70.46086	-231.3565	160.8957	0.536633	0.4233543	0.477746	0.522254	2.413822
426	-82.36936	-242.5229	160.1535	0.1769109	0.6725752	0.584646	0.415354	2.853291
432	-83.79631	-246.4095	162.6131	1.364019	0.1344498	0.558985	0.441015	1.129894
438	-74.9743	-236.8419	161.8676	1.300659	0.5998255	0.564515	0.435485	0.9181948
444	-54.68853	-216.418	161.7295	0.1248703	0.3310207	0.378872	0.621128	2.26343
450	-64.88925	-226.3518	161.4626	0.3935588	0.3302087	0.633178	0.366822	2.26343
456	-72.10913	-233.628	161.5188	0.5301755	0.2128826	0.625263	0.374737	2.327628
462	-63.46175	-225.8521	162.3903	0.5791262	0.3204136	0.567883	0.432117	1.51779
468	-64.93195	-225.7036	160.7716	0.3334992	0.6205581	0.189563	0.810437	2.419288
474	-72.04401	-235.3122	163.2682	0.07581444	0.2679423	0.559031	0.440969	1.324325
480	-69.40282	-229.9611	160.5582	0.4075215	0.7549684	0.410853	0.589147	2.395246
486	-74.10816	-234.622	160.5138	0.4546365	0.7527717	0.736775	0.263225	2.395246
492	-72.63649	-232.2116	159.5752	0.707443	1.04736	0.396849	0.603151	2.623452
498	-69.73201	-229.8595	160.1275	0.8018012	0.6062503	0.528851	0.471149	2.542231
504	-76.17009	-235.464	159.2939	1.982067	4.040371	0.833632	0.166368	0.5353865
510	-66.53187	-224.9491	158.4172	1.982067	5.941098	0.424624	0.575376	1.032978
516	-73.85135	-235.0555	161.2042	1.528143	1.199331	0.339817	0.660183	0.5103101
522	-72.40697	-234.5281	162.1211	0.754483	0.3126811	0.617208	0.382792	1.599676
528	-79.52375	-240.1079	160.5842	1.212955	2.247165	0.530873	0.469127	0.9193679
534	-77.8225	-239.4303	161.6078	0.9236952	0.9231399	0.521629	0.478371	1.149076
540	-76.14424	-238.0663	161.922	0.9236952	0.7444757	0.62521	0.37479	1.04885
546	-82.10578	-244.3249	162.2191	0.6564475	0.3423499	0.261484	0.738516	1.551904
552	-79.39712	-241.3861	161.989	1.022023	0.3973215	0.43869	0.56131	1.363572
558	-81.24262	-243.5535	162.3109	1.354159	0.04388624	0.36033	0.63967	1.687009
564	-77.61902	-240.392	162.7729	1.181783	0.2612393	0.251621	0.748379	0.728739
570	-75.99957	-238.867	162.8674	1.405312	0.1098538	0.528358	0.471642	0.9354966
576	-77.96036	-240.8376	162.8772	0.9502638	0.2903229	0.652966	0.347034	0.8086081
582	-89.22645	-251.4477	162.2213	0.4606106	0.4237798	0.534226	0.465774	1.575233
588	-82.40817	-244.2586	161.8504	1.165461	0.7297946	0.809663	0.190337	0.8919663
594	-70.97771	-232.7885	161.8108	0.7411878	0.202857	0.698271	0.301729	2.01987
600	-72.10184	-233.7422	161.6404	0.2817109	0.09793042	0.515143	0.484857	2.657802
606	-76.606	-237.4083	160.8023	0.4900631	0.1808478	0.695155	0.304845	2.856706
612	-81.32089	-242.8969	161.5761	0.5370178	0.3820535	0.604301	0.395699	2.025342
618	-88.78134	-250.3557	161.5744	0.5791063	0.2149618	0.375041	0.624959	2.256984
624	-71.96024	-233.0219	161.0617	0.7746796	0.8174449	0.465074	0.534926	1.771852
630	-78.0939	-239.3515	161.2576	0.5662372	0.4930658	0.398976	0.601024	2.083102
636	-76.54323	-237.7048	161.1615	0.5275167	0.6216597	0.555689	0.444311	2.041713
642	-81.76833	-243.1262	161.3579	0.3281611	0.2128611	0.113738	0.886262	2.555932
648	-74.31412	-235.3953	161.0812	0.3281611	0.4456046	0.37831	0.62169	2.402718
654	-74.29214	-235.3356	161.0435	0.3053003	0.345276	0.599051	0.400949	2.562991
660	-78.78016	-239.2227	160.4425	0.3768565	0.6609835	0.630823	0.369177	2.562991
666	-76.79088	-238.0662	161.2754	0.5347201	0.3265852	0.701173	0.298827	2.298025
672	-70.50388	-231.2403	160.7364	0.3070023	0.6500353	0.781902	0.218098	2.432247
678	-67.75542	-229.5509	161.7955	0.5415474	0.5273418	0.643056	0.356944	1.695648
684	-75.36879	-237.7391	162.3703	0.3441165	0.3898664	0.437511	0.562489	1.59867
690	-74.12033	-235.6124	161.492	0.09426548	0.4086661	0.628023	0.371977	2.333746
696	-75.00594	-236.3265	161.3205	0.5061964	0.2535193	0.489902	0.510098	2.398247
702	-70.77144	-232.4159	161.6445	0.4188335	0.2533131	0.662854	0.337146	2.247821
708	-74.39724	-235.3368	160.9396	0.4188335	0.634438	0.112327	0.887673	2.245639
714	-77.53236	-237.0383	159.5059	0.4110451	0.4722247	0.360088	0.639912	3.281411
720	-67.76659	-229.6728	161.9062	0.3607807	0.2772581	0.673245	0.326755	2.07609
726	-80.11151	-241.1336	161.0221	0.162352	0.4483402	0.924951	0.0750494	2.540618
732	-75.0563	-237.6934	162.6371	0.8192229	0.3174702	0.383814	0.616186	1.130242
738	-84.29049	-245.8799	161.5894	1.198738	0.7592874	0.563871	0.436129	1.085834
